,,,เงินต้น,"฿5,000,000.00",,,,,,,,,ดอกเบี้ย,฿0.00,บาท,3.50%,,,,,,,,,,,,,,,,,,"2,216,000.00",,"฿2,022,528.00",,,,,,,,,,,,,,,,"1,064,000.00",,"฿925,056.00",,,เงินลงพอร์ทเริ่มต้น,ไม่โปะ,ผ่อน,"฿20,000.00",โปะ,฿0.00,รวมจ่ายธนาคาร,"฿20,000.00",เก็บหุ้น,฿0.00,รวมจ่ายต่อเดือน,"฿20,000.00",
ผ่อนหมดปี 2592,ผ่อนหมดใน 23 ปี,2 เดือน,อายุ 55 ปี,,,,,,,,,,,,,,,,,,,48.56074888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,฿0.00,โปะธรรมดา,ผ่อน,"฿20,000.00",โปะ,"฿8,000.00",รวมจ่ายธนาคาร,"฿28,000.00",เก็บหุ้น,฿0.00,รวมจ่ายต่อเดือน,"฿28,000.00",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,โปะหุ้น,ผ่อน,"฿20,000.00",โปะ,฿0.00,รวมจ่ายธนาคาร,"฿20,000.00",เก็บหุ้น,"฿8,000.00",รวมจ่ายต่อเดือน,"฿28,000.00",
,,,,,,,,,,,,,,,,,,,,"$7,084,000.00",,"$2,072,384.67","$5,000,000.00",,,,,,,,,AVG_GPY_%,0.00%,,8.00%,,,,,,,,,,,,,,,AVG_GPY_%,3.50%,,8.00%,,,,,โปะ+หุ้น,ผ่อน,"฿20,000.00",โปะ,"฿4,000.00",รวมจ่ายธนาคาร,"฿24,000.00",เก็บหุ้น,"฿4,000.00",รวมจ่ายต่อเดือน,"฿28,000.00",
Check,Year,อายุ,ปี,เดือน,Date,วัน,งวดที่,ปีที่,ผ่อนเริ่มต้น,เงินโปะ,จ่ายรวมต่อเดือน,ดอกเบี้ย %,ดอกเบี้ยจ่ายบาท,เงินต้นจ่าย,เงินต้นคงเหลือ_DCA_ทั้งหมด,ลดต้นรวม,จ่ายรวมดอกเบี้ย (ทั้งหมด),ดอกเบี้ยรวม,เงินต้นจ่ายรวม,ผ่อนต่อเดือน_โปะธรรมดา,ดอกเบี้ยต่อเดือน_โปะธรรมดา,เข้าต้นต่อเดือน_โปะธรรมดา,เงินต้นคงเหลือ_โปะธรรมดา,ผ่อนต่อเดือน_ไม่โปะ,ดอกเบี้ยต่อเดือน_ไม่โปะ,เข้าต้นต่อเดือน_ไม่โปะ,เงินต้นคงเหลือ_ไม่โปะ,,เก็บซื้อหุ้น DCA,เงินต้นไม่โต,ส่วนต่างการเติบโต,มุลค่าลงทุนรวม,Growth_%,มูลค่าหุ้นรวม_DCA100%,%_ปันผล,เงินปันผล,ปันผลทั้งปี,ปันผลเฉลี่ยต่อเดือน,,ผ่อนเริ่มต้น,เงินโปะ,จ่ายรวมต่อเดือน,ดอกเบี้ยจ่ายบาท,เงินต้นจ่าย,เงินต้นคงเหลือ_DCA_บางส่วน,,เก็บซื้อหุ้น DCA,เงินต้นไม่โต,ส่วนต่างการเติบโต,มุลค่าลงทุนรวม,Growth_%,มูลค่าหุ้นรวม_DCA_บางส่วน,%_ปันผล,เงินปันผล,ปันผลทั้งปี,ปันผลเฉลี่ยต่อเดือน,,,,,,,,,,,,,
FALSE,2026,32,2569,1,2569/1,31,1,1,"฿20,000.00",฿0.00,"฿20,000.00",3.50%,"฿14,863.01","฿5,136.99","฿4,994,863.01","-฿5,136.99","฿20,000.00","฿14,863.01","฿5,136.99","฿28,000.00","฿14,863.01","฿13,136.99","฿4,986,863.01","฿20,000.00","฿14,863.01","฿5,136.99","฿4,994,863.01",,"฿8,000.00","฿8,000.00",฿0.00,"฿8,000.00",0.00%,"฿8,000.00",0.00%,฿0.00,,,,"฿20,000.00","฿4,000.00","฿24,000.00","฿14,863.01","฿9,136.99","฿4,990,863.01",,"฿4,000.00","฿4,000.00",฿0.00,"฿4,000.00",0.00%,"฿4,000.00",0.00%,฿0.00,,,,,,,,,ผ่อน,โปะ/เติมหุ้น,รวม,Port size (100%),ปันผลรวม,Last Dividend Size (Years),Last Dividend Size (Month)
FALSE,2026,32,2569,2,2569/2,28,2,1,"฿20,000.00",฿0.00,"฿20,000.00",3.50%,"฿13,410.87","฿6,589.13","฿4,988,273.88","-฿6,589.13","฿40,000.00","฿28,273.88","฿11,726.12","฿28,000.00","฿13,389.39","฿14,610.61","฿4,972,252.40","฿20,000.00","฿13,410.87","฿6,589.13","฿4,988,273.88",,"฿8,000.00","฿16,000.00",฿0.00,"฿16,000.00",0.00%,"฿16,000.00",,฿0.00,,,,"฿20,000.00","฿4,000.00","฿24,000.00","฿13,400.13","฿10,599.87","฿4,980,263.14",,"฿4,000.00","฿8,000.00",฿0.00,"฿8,000.00",0.00%,"฿8,000.00",,฿0.00,,,,ผ่อนแบบไม่โปะ (แผน A),420,420 เดือน,35.00,35 ปี,"฿8,400,000.00",฿0.00,"฿8,400,000.00",฿0.00,฿0.00,฿0.00,฿0.00
FALSE,2026,32,2569,3,2569/3,31,3,1,"฿20,000.00","฿1,152.00","฿21,152.00",3.50%,"฿14,828.16","฿6,323.84","฿4,981,950.04","-฿6,323.84","฿61,152.00","฿43,102.04","฿18,049.96","฿28,000.00","฿14,780.53","฿13,219.47","฿4,959,032.93","฿20,000.00","฿14,828.16","฿5,171.84","฿4,983,102.04",,"฿8,000.00","฿24,000.00",฿0.00,"฿24,000.00",0.00%,"฿24,000.00",4.80%,"฿1,152.00",,,,"฿20,000.00","฿4,576.00","฿24,576.00","฿14,804.34","฿9,771.66","฿4,970,491.48",,"฿4,000.00","฿12,000.00",฿0.00,"฿12,000.00",0.00%,"฿12,000.00",4.80%,฿576.00,,,,ผ่อนแบบโปะธรรมดา (แผน B),253,253 เดือน,21.08,21.08 ปี,"฿5,060,000.00","฿2,024,000.00","฿7,084,000.00",฿0.00,฿0.00,฿0.00,฿0.00
FALSE,2026,32,2569,4,2569/4,30,4,1,"฿20,000.00",฿0.00,"฿20,000.00",3.50%,"฿14,331.64","฿5,668.36","฿4,976,281.67","-฿5,668.36","฿81,152.00","฿57,433.68","฿23,718.33","฿28,000.00","฿14,265.71","฿13,734.29","฿4,945,298.64","฿20,000.00","฿14,334.95","฿5,665.05","฿4,977,436.99",,"฿8,000.00","฿32,000.00",฿0.00,"฿32,000.00",0.00%,"฿32,000.00",,฿0.00,,,,"฿20,000.00","฿4,000.00","฿24,000.00","฿14,298.67","฿9,701.33","฿4,960,790.16",,"฿4,000.00","฿16,000.00",฿0.00,"฿16,000.00",0.00%,"฿16,000.00",,฿0.00,,,,ผ่อน+ DCA หุ้น 100% (แผน C),277,277 เดือน,23.08,23.08 ปี,"฿5,540,000.00","฿2,216,000.00","฿7,756,000.00","฿2,216,000.00","฿2,022,528.00","฿177,280.00","฿14,773.33"
FALSE,2026,32,2569,5,2569/5,31,5,1,"฿20,000.00",฿0.00,"฿20,000.00",3.50%,"฿14,792.51","฿5,207.49","฿4,971,074.18","-฿5,207.49","฿101,152.00","฿72,226.19","฿28,925.82","฿28,000.00","฿14,700.41","฿13,299.59","฿4,931,999.05","฿20,000.00","฿14,795.94","฿5,204.06","฿4,972,232.93",,"฿8,000.00","฿40,000.00",฿0.00,"฿40,000.00",0.00%,"฿40,000.00",,฿0.00,,,,"฿20,000.00","฿4,000.00","฿24,000.00","฿14,746.46","฿9,253.54","฿4,951,536.62",,"฿4,000.00","฿20,000.00",฿0.00,"฿20,000.00",0.00%,"฿20,000.00",,฿0.00,,,,ผ่อน+โปะ+ DCA หุ้น (แผน D),266,266 เดือน,22.17,22.17 ปี,"฿5,320,000.00","฿1,064,000.00","฿6,384,000.00","฿1,064,000.00","฿925,056.00","฿85,120.00","฿7,093.33"
